iter	Passed	Remaining
148	464	5767
149	467	5765
150	471	5767
151	473	5756
152	476	5750
153	479	5744
154	482	5743
155	485	5739
156	489	5749
157	493	5752
158	497	5755
159	500	5757
160	504	5759
161	507	5760
162	511	5764
163	514	5759
164	517	5757
165	521	5760
166	525	5763
167	528	5762
168	531	5760
169	534	5753
170	538	5756
171	542	5761
172	546	5772
173	550	5780
174	555	5788
175	559	5798
176	560	5771
177	563	5767
178	566	5765
179	570	5767
180	573	5766
181	577	5769
182	580	5764
183	583	5760
184	584	5734
185	587	5726
186	590	5723
187	593	5722
188	596	5716
189	600	5715
190	604	5721
191	607	5718
192	611	5722
193	614	5720
194	615	5699
195	617	5685
196	620	5675
197	623	5673
198	627	5679
199	631	5682
200	635	5687
201	640	5699
202	644	5701
203	647	5701
204	651	5704
205	654	5702
206	658	5704
207	661	5699
208	664	5693
209	668	5698
210	671	5694
211	675	5694
212	678	5689
213	681	5691
214	684	5684
215	687	5680
216	691	5680
217	694	5678
218	699	5685
219	702	5684
220	706	5685
221	709	5682
222	712	5677
223	716	5682
224	720	5680
225	723	5683
226	726	5676
227	730	5677
228	733	5672
229	736	5671
230	740	5672
231	744	5670
232	747	5669
233	750	5660
234	752	5651
235	756	5652
236	759	5646
237	763	5649
238	766	5645
239	769	5641
240	772	5639
241	775	5634
242	778	5629
243	781	5626
244	784	5618
245	789	5625
246	792	5626
247	798	5640
248	801	5637
249	807	5650
250	810	5646
251	815	5660
252	820	5663
253	824	5664
254	827	5664
255	832	5668
256	835	5668
257	839	5670
258	843	5671
259	847	5674
260	852	5677
261	856	5682
262	859	5679
263	865	5689
264	869	5689
265	874	5697
266	878	5703
267	882	5702
268	886	5705
269	891	5712
270	895	5716
271	900	5722
272	904	5718
273	908	5722
274	911	5718
275	914	5713
276	917	5706
277	921	5710
278	925	5707
279	929	5712
280	933	5708
281	936	5707
282	939	5702
283	943	5698
284	945	5690
285	948	5684
286	951	5681
287	955	5677
288	959	5679
289	962	5674
290	966	5674
291	970	5673
292	973	5673
293	977	5674
294	981	5670
295	985	5673
296	988	5665
297	992	5666
298	995	5660
299	997	5654
300	1001	5652
301	1004	5648
302	1007	5644
303	1010	5637
304	1013	5631
305	1017	5634
306	1020	5627
307	1024	5627
308	1027	5621
309	1030	5616
310	1033	5611
311	1036	5605
312	1038	5598
313	1042	5598
314	1046	5596
315	1049	5594
316	1052	5588
317	1056	5590
318	1059	5584
319	1062	5579
320	1066	5577
321	1069	5572
322	1072	5567
323	1075	5565
324	1078	5559
325	1082	5558
326	1085	5552
327	1088	5546
328	1091	5543
329	1095	5542
330	1098	5539
331	1101	5535
332	1104	5530
333	1108	5531
334	1111	5526
335	1115	5524
336	1118	5519
337	1121	5516
338	1125	5514
339	1128	5509
340	1131	5506
341	1134	5498
342	1137	5494
343	1140	5490
344	1143	5485
345	1146	5479
346	1148	5473
347	1152	5470
348	1155	5464
349	1158	5460
350	1161	5456
351	1164	5453
352	1167	5446
353	1170	5442
354	1173	5439
355	1176	5433
356	1180	5432
357	1183	5429
358	1187	5428
359	1190	5425
360	1194	5421
361	1197	5419
362	1200	5413
363	1203	5408
364	1206	5405
365	1209	5399
366	1212	5393
367	1214	5386
368	1217	5382
369	1221	5379
370	1223	5371
371	1228	5374
372	1232	5374
373	1235	5372
374	1238	5367
375	1241	5361
376	1245	5360
377	1248	5356
378	1251	5352
379	1254	5349
380	1258	5346
381	1261	5344
382	1265	5341
383	1268	5338
384	1271	5333
385	1274	5328
386	1277	5323
387	1280	5320
388	1282	5313
389	1286	5312
390	1289	5306
391	1292	5303
392	1295	5298
393	1299	5296
394	1302	5292
395	1305	5289
396	1308	5284
397	1312	5281
398	1314	5274
399	1318	5273
400	1320	5267
401	1324	5264
402	1327	5260
403	1331	5259
404	1334	5256
405	1338	5253
406	1340	5248
407	1344	5244
408	1346	5237
409	1349	5233
410	1353	5231
411	1356	5227
412	1359	5224
413	1362	5220
414	1365	5215
415	1368	5211
416	1371	5205
417	1374	5203
418	1378	5200
419	1381	5198
420	1385	5196
421	1389	5195
422	1392	5192
423	1397	5196
424	1402	5196
425	1405	5194
426	1408	5189
427	1411	5184
428	1414	5180
429	1417	5174
430	1419	5169
431	1423	5165
432	1426	5161
433	1430	5163
434	1434	5160
435	1437	5156
