artist_prior_lots_total,artist_prior_lots_sold,artist_sell_through_rate,artist_avg_price,artist_median_price,artist_max_price,artist_min_price,artist_price_std,artist_price_trend,artist_avg_estimate_accuracy,artist_years_in_market,artist_days_since_last_sale,artist_desirability_score,height_cm,width_cm,surface_area_cm2,year_created,artwork_age,artist_age_at_creation,artist_deceased,is_signed,is_dated,provenance_count,literature_count,exhibition_count,has_provenance,has_literature,has_exhibitions,estimate_midpoint,estimate_spread,log_estimate_mid,is_live_auction,is_spring_sale,is_fall_sale,auction_year,market_index,artist_recent_avg_price,artist_recent_median_price,artist_recent_max_price,artist_momentum,artist_price_velocity,artist_price_per_cm2,artist_recent_lots_12m,artist_premium_trend,auction_house_prestige,provenance_quality,artist_rarity,comp_price,comp_price_best,comp_price_same_medium,comp_price_size_adj,log_comp_price,log_comp_best,log_comp_same_med,log_comp_size_adj,comp_recency_days,comp_count,comp_spread,color_richness,brightness,subject_score,palette_score,style_score,medium_category,artist_name_clean,subject,palette,style,title_subject,creation_period,log_hammer_price,auction_date,hammer_price_usd,artist_name,title,lot_id
15.0,15.0,1.0,45495.95,13144.5,317500.0,1022.35,80869.89222181516,0.20022298553407306,1.1774941465655087,7.920602327173169,73.0,3.2647069912708853,80.0,60.0,4800.0,,,,1,True,False,0,0,0,0,0,0,50000.0,0.5,10.819798284210286,1,0,1,2003.0,,113391.0,107550.0,317500.0,2.492331735022568,0.2490833327920093,3.042708333333333,4.0,1.210960337495322,0,0,0.5015559851249556,13943.81545131818,21150.0,21150.0,21150.0,9.542863065934448,9.959442464680574,9.959442464680574,9.959442464680574,700.0,5.0,0.2801151283236123,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,10.774780918479548,2003-09-17 00:00:00,47800.0,Tyeb Mehta,Blue Shawl,-734906429
16.0,16.0,1.0,45639.953125,13728.7,317500.0,1022.35,78303.9226649607,0.18809518811357018,1.1636507624051644,7.920602327173169,0.0,3.296870867867501,120.0,90.0,10800.0,,,,1,True,False,0,0,0,0,0,0,85000.0,0.125,11.350418300109132,1,0,1,2003.0,,120836.0,107550.0,317500.0,2.6475925527147437,0.22685851352844538,3.1125,5.0,1.2203103374953217,0,0,0.47168734612688107,127166.6477720602,122368.0,122368.0,122368.00000000001,11.753261556123274,11.714796349008758,11.714796349008758,11.714796349008758,73.0,5.0,1.2423987690463125,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,11.691071650353702,2003-09-17 00:00:00,119500.0,Tyeb Mehta,Mahishasura,-315665295
17.0,17.0,1.0,49984.66176470588,14312.9,317500.0,1022.35,77928.50230522871,0.19405028775916855,1.177899679495518,8.44079397672827,190.0,3.4045679672487896,80.0,60.0,4800.0,,,,1,True,False,0,0,0,0,0,0,35000.0,0.3333333333333333,10.463131911491967,1,1,0,2004.0,,123226.0,119500.0,317500.0,2.46527625974674,0.232155554504819,3.1822916666666665,3.0,1.2458985727894396,0,0,0.4730305099308789,38934.870528599015,47800.0,,47800.0,10.569671226271451,10.774801838762809,,10.774801838762809,190.0,5.0,0.8173183522589662,,,,,,acrylic_on_canvas,TYEB MEHTA,unknown,unknown,unknown,untitled,unknown,10.551637367165338,2004-03-25 00:00:00,38240.0,Tyeb Mehta,Untitled,2085201649
18.0,18.0,1.0,49332.180555555555,14458.95,317500.0,1022.35,75780.65896790211,0.1748351508643663,1.1731592211108464,8.44079397672827,0.0,3.454295739407317,120.0,90.0,10800.0,,,,1,True,False,0,0,0,0,0,0,75000.0,0.14285714285714285,11.225256725762893,1,1,0,2004.0,,67374.0,47800.0,122368.0,1.3657211021541327,0.1722685558781918,3.794270833333333,4.0,1.2678700013608684,0,0,0.4479281687685245,133796.55194253352,119500.0,119500.0,119500.0,11.804083130115263,11.691080018519527,11.691080018519527,11.691080018519527,190.0,5.0,0.6009953186666757,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,11.528552720855927,2004-03-25 00:00:00,101575.0,Tyeb Mehta,Drummer,-304442729
19.0,19.0,1.0,52081.80263157895,14605.0,317500.0,1022.35,74676.2884577996,0.17374532494125924,1.1826947007015036,8.93908281998631,182.0,3.543036684652772,120.0,90.0,10800.0,,,,1,True,False,0,0,0,0,0,0,135000.0,0.25,11.813037464800539,1,0,1,2004.0,,85896.6,101575.0,122368.0,1.6492631909771498,0.17623784377376495,4.40625,2.0,1.2824461918370587,0,0,0.4493376913813866,133336.16254301072,101575.0,101575.0,101575.00000000001,11.800636256082205,11.528562565749628,11.528562565749628,11.528562565749628,182.0,5.0,0.4208213010943372,,,,,,oil_on_canvas,TYEB MEHTA,unknown,unknown,unknown,other,unknown,11.780659899612314,2004-09-23 00:00:00,130700.0,Tyeb Mehta,Rickshaw Puller,-967033176
1.0,1.0,1.0,111.76,111.76,111.76,111.76,0.0,,0.5866666666666667,12.057494866529774,4404.0,0.40664634592850124,70.0,55.0,3850.0,,,,1,True,False,0,0,0,0,0,0,31750.0,0.5,10.36567949988784,1,0,1,2004.0,,111.76,111.76,111.76,1.0,,0.1277257142857143,0.0,0.5866666666666667,0,0,5.466393595233662,111.76,111.76,,491.7440000000001,4.7252616662459115,4.7252616662459115,,6.199989769398573,4404.0,1.0,,,,,,,oil_on_canvas,FRANCIS NEWTON SOUZA,unknown,unknown,unknown,untitled,unknown,11.38536137538253,2004-10-15 00:00:00,88023.7,Francis Newton Souza,Untitled,4956036333
2.0,2.0,1.0,44067.729999999996,44067.729999999996,88023.7,111.76,43955.969999999994,,1.679533333333333,12.676249144421629,226.0,1.8451559592277125,70.0,55.0,3850.0,,,,1,True,False,0,0,0,0,0,0,42240.0,0.35714285714285715,10.651146592342338,1,1,0,2005.0,,44067.729999999996,44067.729999999996,88023.7,1.0,,11.495512207792206,1.0,1.679533333333333,0,0,3.8793464599916208,77724.78178364896,88023.7,88023.7,88023.7,11.260942293205723,11.385372735894753,11.385372735894753,11.385372735894753,226.0,2.0,3.330055534824421,,,,,,oil_on_canvas,FRANCIS NEWTON SOUZA,unknown,unknown,unknown,portrait,unknown,11.431281475929719,2005-05-29 00:00:00,92160.0,Francis Newton Souza,Self Portrait with Female Friend,3454760485
3.0,3.0,1.0,60098.486666666664,88023.7,92160.0,111.76,42450.62054166412,3.3530153301596917,1.846961616161616,12.676249144421629,0.0,2.560432473689728,70.0,55.0,3850.0,,,,1,True,False,0,0,0,0,0,0,57600.0,0.25,10.961295207644392,1,1,0,2005.0,,60098.486666666664,88023.7,92160.0,1.0,3.3530153301596917,22.8632987012987,2.0,1.846961616161616,0,0,2.970328789093825,87238.81395347761,92160.0,92160.0,92160.0,11.376416087730505,11.431292326565295,11.431292326565295,11.431292326565295,0.0,3.0,3.1504855937177902,,,,,,oil_on_canvas,FRANCIS NEWTON SOUZA,unknown,unknown,unknown,untitled,unknown,11.344270098940088,2005-05-29 00:00:00,84480.0,Francis Newton Souza,Untitled,1039873817
4.0,4.0,1.0,66193.86499999999,86251.85,92160.0,111.76,38249.213055416905,1.9902980399906531,1.7518878787878787,12.991101984941821,115.0,2.8195547704549675,90.0,70.0,6300.0,,,,1,True,False,0,0,0,0,0,0,70000.0,0.3333333333333333,11.156264806643742,1,0,1,2005.0,,66193.86499999999,86251.85,92160.0,1.0,1.9902980399906531,22.40307792207792,3.0,1.7518878787878787,0,0,2.4515629036424693,81927.09121387448,92160.0,92160.0,150807.27272727274,11.313597205096546,11.431292326565295,11.431292326565295,11.923764591985465,115.0,4.0,2.8847738633124926,,,,,,oil_on_canvas,FRANCIS NEWTON SOUZA,unknown,unknown,unknown,abstract,unknown,12.477625336052071,2005-09-21 00:00:00,262400.0,Francis Newton Souza,Untitled (Still life),-452675253
5.0,5.0,1.0,105435.09199999999,88023.7,262400.0,111.76,85614.82012682766,1.54636441616455,2.1512245887445887,12.991101984941821,0.0,3.854477027319345,90.0,70.0,6300.0,,,,1,True,False,0,0,0,0,0,0,35000.0,0.3333333333333333,10.463131911491967,1,0,1,2005.0,,105435.09199999999,88023.7,262400.0,1.0,1.54636441616455,22.8632987012987,4.0,2.1512245887445887,0,0,2.062370965989351,185937.0673990589,262400.0,262400.0,262400.0,12.133168926275394,12.47762914702042,12.47762914702042,12.47762914702042,0.0,5.0,2.8058670399462415,,,,,,oil_on_canvas,FRANCIS NEWTON SOUZA,unknown,unknown,unknown,untitled,unknown,11.643953727376633,2005-09-21 00:00:00,114000.0,Francis Newton Souza,Untitled,-138830090
